"","sessionKEY","round.dt","full_time","actor","subject","dyadID","behavior","actor.sex","actor.site","subject.sex","subject.site","new.dyad","opp.sex","n","date","undir.dyad"
"38","2021-04-05_Annemarie",2021-04-05 12:00:00,12:04:41,"PBO","PPP","PBO-PPP","NN","female","Florida City","male","Florida City",FALSE,TRUE,1,2021-04-05,"PBO-PPP"
"39","2021-04-05_Annemarie",2021-04-05 12:00:00,12:04:41,"PPP","PBO","PPP-PBO","NN","male","Florida City","female","Florida City",FALSE,TRUE,1,2021-04-05,"PBO-PPP"
"40","2021-04-05_Cesar",2021-04-05 12:00:00,12:04:57,"BOB","BBP","BOB-BBP","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"41","2021-04-05_Annemarie",2021-04-05 12:05:00,12:05:07,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"42","2021-04-05_Cesar",2021-04-05 12:05:00,12:05:40,"PPB","POO","PPB-POO","s2s","female","Galloway","male","Galloway",FALSE,TRUE,1,2021-04-05,"POO-PPB"
"43","2021-04-05_Xavier",2021-04-05 12:05:00,12:05:49,"BOB","BBP","BOB-BBP","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"44","2021-04-05_Cesar",2021-04-05 12:05:00,12:05:51,"PPB","POO","PPB-POO","allop","female","Galloway","male","Galloway",FALSE,TRUE,1,2021-04-05,"POO-PPB"
"45","2021-04-05_Cesar",2021-04-05 12:05:00,12:08:19,"BOB","BBP","BOB-BBP","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"46","2021-04-05_Annemarie",2021-04-05 12:05:00,12:08:51,"BBP","BOB","BBP-BOB","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"47","2021-04-05_Annemarie",2021-04-05 12:05:00,12:08:51,"BOB","BBP","BOB-BBP","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"48","2021-04-05_Annemarie",2021-04-05 12:05:00,12:09:18,"PBO","PPP","PBO-PPP","NN","female","Florida City","male","Florida City",FALSE,TRUE,1,2021-04-05,"PBO-PPP"
"49","2021-04-05_Annemarie",2021-04-05 12:05:00,12:09:18,"PPP","PBO","PPP-PBO","NN","male","Florida City","female","Florida City",FALSE,TRUE,1,2021-04-05,"PBO-PPP"
"50","2021-04-05_Cesar",2021-04-05 12:10:00,12:13:08,"OGO","PPP","OGO-PPP","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"OGO-PPP"
"51","2021-04-05_Cesar",2021-04-05 12:10:00,12:13:08,"PPP","OGO","PPP-OGO","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"OGO-PPP"
"52","2021-04-05_Cesar",2021-04-05 12:10:00,12:13:50,"BBB","GOO","BBB-GOO","NN","male","Galloway","male","Florida City",TRUE,FALSE,1,2021-04-05,"BBB-GOO"
"53","2021-04-05_Cesar",2021-04-05 12:10:00,12:13:50,"GOO","BBB","GOO-BBB","NN","male","Florida City","male","Galloway",TRUE,FALSE,1,2021-04-05,"BBB-GOO"
"54","2021-04-05_Claire",2021-04-05 12:10:00,12:14:08,"PBB","GGG","PBB-GGG","NN","female","Goulds","female","Goulds",FALSE,FALSE,1,2021-04-05,"GGG-PBB"
"55","2021-04-05_Annemarie",2021-04-05 12:10:00,12:14:16,"BBB","OPP","BBB-OPP","NN","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"56","2021-04-05_Annemarie",2021-04-05 12:10:00,12:14:16,"OPP","BBB","OPP-BBB","NN","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"57","2021-04-05_Claire",2021-04-05 12:10:00,12:14:26,"GGG","POO","GGG-POO","NN","female","Goulds","male","Galloway",TRUE,TRUE,1,2021-04-05,"GGG-POO"
"58","2021-04-05_Annemarie",2021-04-05 12:10:00,12:14:32,"BBB","GOO","BBB-GOO","NN","male","Galloway","male","Florida City",TRUE,FALSE,1,2021-04-05,"BBB-GOO"
"59","2021-04-05_Claire",2021-04-05 12:10:00,12:14:40,"POO","PPB","POO-PPB","NN","male","Galloway","female","Galloway",FALSE,TRUE,1,2021-04-05,"POO-PPB"
"60","2021-04-05_Claire",2021-04-05 12:10:00,12:14:50,"OOP","OOO","OOP-OOO","NN","female","Goulds","male","Perrine",TRUE,TRUE,1,2021-04-05,"OOO-OOP"
"61","2021-04-05_Claire",2021-04-05 12:10:00,12:14:57,"OOO","PGG","OOO-PGG","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"62","2021-04-05_Claire",2021-04-05 12:15:00,12:15:47,"PPP","GOP","PPP-GOP","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"GOP-PPP"
"63","2021-04-05_Claire",2021-04-05 12:15:00,12:15:55,"GOP","PPO","GOP-PPO","NN","male","Florida City","male","Perrine",TRUE,FALSE,1,2021-04-05,"GOP-PPO"
"64","2021-04-05_Claire",2021-04-05 12:15:00,12:16:07,"PPO","POP","PPO-POP","NN","male","Perrine","female","Perrine",FALSE,TRUE,1,2021-04-05,"POP-PPO"
"65","2021-04-05_Annemarie",2021-04-05 12:15:00,12:16:25,"OBG","OGO","OBG-OGO","NN","female","Florida City","male","Florida City",FALSE,TRUE,1,2021-04-05,"OBG-OGO"
"66","2021-04-05_Claire",2021-04-05 12:15:00,12:17:23,"GOP","PPP","GOP-PPP","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"GOP-PPP"
"67","2021-04-05_Claire",2021-04-05 12:15:00,12:17:23,"PPP","GOP","PPP-GOP","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"GOP-PPP"
"68","2021-04-05_Cesar",2021-04-05 12:15:00,12:17:43,"GOO","OGO","GOO-OGO","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"GOO-OGO"
"69","2021-04-05_Cesar",2021-04-05 12:15:00,12:17:43,"OGO","GOO","OGO-GOO","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"GOO-OGO"
"70","2021-04-05_Annemarie",2021-04-05 12:15:00,12:18:02,"GOO","PPO","GOO-PPO","NN","male","Florida City","male","Perrine",TRUE,FALSE,1,2021-04-05,"GOO-PPO"
"71","2021-04-05_Annemarie",2021-04-05 12:15:00,12:18:02,"PPO","GOO","PPO-GOO","NN","male","Perrine","male","Florida City",TRUE,FALSE,1,2021-04-05,"GOO-PPO"
"72","2021-04-05_Cesar",2021-04-05 12:15:00,12:18:09,"GOO","PPO","GOO-PPO","NN","male","Florida City","male","Perrine",TRUE,FALSE,1,2021-04-05,"GOO-PPO"
"73","2021-04-05_Cesar",2021-04-05 12:15:00,12:18:09,"PPO","GOO","PPO-GOO","NN","male","Perrine","male","Florida City",TRUE,FALSE,1,2021-04-05,"GOO-PPO"
"74","2021-04-05_Annemarie",2021-04-05 12:15:00,12:18:44,"GOO","OGO","GOO-OGO","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"GOO-OGO"
"75","2021-04-05_Xavier",2021-04-05 12:15:00,12:19:00,"PPB","POO","PPB-POO","allop","female","Galloway","male","Galloway",FALSE,TRUE,1,2021-04-05,"POO-PPB"
"76","2021-04-05_Annemarie",2021-04-05 12:15:00,12:19:02,"OBB","PPO","OBB-PPO","NN","male","Florida City","male","Perrine",TRUE,FALSE,1,2021-04-05,"OBB-PPO"
"77","2021-04-05_Xavier",2021-04-05 12:15:00,12:19:30,"GOO","PPO","GOO-PPO","NN","male","Florida City","male","Perrine",TRUE,FALSE,1,2021-04-05,"GOO-PPO"
"78","2021-04-05_Xavier",2021-04-05 12:15:00,12:19:30,"PPO","GOO","PPO-GOO","NN","male","Perrine","male","Florida City",TRUE,FALSE,1,2021-04-05,"GOO-PPO"
"79","2021-04-05_Annemarie",2021-04-05 12:15:00,12:19:58,"OPP","BBB","OPP-BBB","NN","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"80","2021-04-05_Xavier",2021-04-05 12:20:00,12:20:10,"OBB","PPO","OBB-PPO","NN","male","Florida City","male","Perrine",TRUE,FALSE,1,2021-04-05,"OBB-PPO"
"81","2021-04-05_Xavier",2021-04-05 12:20:00,12:21:26,"GGG","PPB","GGG-PPB","NN","female","Goulds","female","Galloway",TRUE,FALSE,1,2021-04-05,"GGG-PPB"
"82","2021-04-05_Xavier",2021-04-05 12:20:00,12:21:26,"PPB","GGG","PPB-GGG","NN","female","Galloway","female","Goulds",TRUE,FALSE,1,2021-04-05,"GGG-PPB"
"83","2021-04-05_Xavier",2021-04-05 12:20:00,12:21:46,"PPB","POO","PPB-POO","NN","female","Galloway","male","Galloway",FALSE,TRUE,1,2021-04-05,"POO-PPB"
"84","2021-04-05_Xavier",2021-04-05 12:20:00,12:23:15,"OOO","POP","OOO-POP","NN","male","Perrine","female","Perrine",FALSE,TRUE,1,2021-04-05,"OOO-POP"
"85","2021-04-05_Xavier",2021-04-05 12:20:00,12:23:15,"POP","OOO","POP-OOO","NN","female","Perrine","male","Perrine",FALSE,TRUE,1,2021-04-05,"OOO-POP"
"86","2021-04-05_Annemarie",2021-04-05 12:20:00,12:23:54,"OBB","OBG","OBB-OBG","NN","male","Florida City","female","Florida City",FALSE,TRUE,1,2021-04-05,"OBB-OBG"
"87","2021-04-05_Annemarie",2021-04-05 12:20:00,12:24:05,"OBG","GOP","OBG-GOP","NN","female","Florida City","male","Florida City",FALSE,TRUE,1,2021-04-05,"GOP-OBG"
"88","2021-04-05_Annemarie",2021-04-05 12:25:00,12:25:07,"OGO","PPP","OGO-PPP","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"OGO-PPP"
"89","2021-04-05_Annemarie",2021-04-05 12:25:00,12:25:07,"PPP","OGO","PPP-OGO","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"OGO-PPP"
"90","2021-04-05_Annemarie",2021-04-05 12:25:00,12:25:20,"OBB","PPP","OBB-PPP","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"OBB-PPP"
"91","2021-04-05_Annemarie",2021-04-05 12:25:00,12:25:20,"PPP","OBB","PPP-OBB","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"OBB-PPP"
"92","2021-04-05_Annemarie",2021-04-05 12:25:00,12:25:51,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"93","2021-04-05_Annemarie",2021-04-05 12:25:00,12:26:13,"BOB","PPB","BOB-PPB","NN","male","Perrine","female","Galloway",TRUE,TRUE,1,2021-04-05,"BOB-PPB"
"94","2021-04-05_Claire",2021-04-05 12:25:00,12:26:18,"PGG","OOO","PGG-OOO","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"95","2021-04-05_Claire",2021-04-05 12:25:00,12:26:25,"OOO","PGG","OOO-PGG","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"96","2021-04-05_Annemarie",2021-04-05 12:25:00,12:26:25,"PPB","OOO","PPB-OOO","NN","female","Galloway","male","Perrine",TRUE,TRUE,1,2021-04-05,"OOO-PPB"
"97","2021-04-05_Xavier",2021-04-05 12:25:00,12:26:34,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"98","2021-04-05_Claire",2021-04-05 12:25:00,12:26:39,"BOB","BBP","BOB-BBP","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"99","2021-04-05_Annemarie",2021-04-05 12:25:00,12:26:40,"OOO","PGG","OOO-PGG","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"100","2021-04-05_Claire",2021-04-05 12:25:00,12:27:24,"BBB","OPP","BBB-OPP","beak_touch","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"101","2021-04-05_Claire",2021-04-05 12:25:00,12:27:33,"BBB","OPP","BBB-OPP","beak_touch","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"102","2021-04-05_Claire",2021-04-05 12:25:00,12:27:42,"BBB","OPP","BBB-OPP","allop","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"103","2021-04-05_Claire",2021-04-05 12:25:00,12:27:42,"OPP","BBB","OPP-BBB","allop","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"104","2021-04-05_Claire",2021-04-05 12:25:00,12:27:48,"BBB","OPP","BBB-OPP","beak_touch","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"105","2021-04-05_Claire",2021-04-05 12:25:00,12:27:58,"OPP","BBB","OPP-BBB","beak_touch","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"106","2021-04-05_Xavier",2021-04-05 12:25:00,12:28:07,"OPP","BBB","OPP-BBB","alloF","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"107","2021-04-05_Cesar",2021-04-05 12:25:00,12:28:11,"BBP","BOB","BBP-BOB","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"108","2021-04-05_Cesar",2021-04-05 12:25:00,12:28:11,"BOB","BBP","BOB-BBP","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"109","2021-04-05_Claire",2021-04-05 12:25:00,12:28:19,"BBB","OPP","BBB-OPP","beak_touch","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"110","2021-04-05_Xavier",2021-04-05 12:25:00,12:28:28,"BBB","OPP","BBB-OPP","alloF","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"111","2021-04-05_Claire",2021-04-05 12:25:00,12:28:28,"BBB","OPP","BBB-OPP","s2s","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"112","2021-04-05_Claire",2021-04-05 12:25:00,12:29:19,"OPP","BBB","OPP-BBB","allop","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"113","2021-04-05_Xavier",2021-04-05 12:25:00,12:29:45,"BBB","OPP","BBB-OPP","s2s","male","Galloway","male","Galloway",FALSE,FALSE,1,2021-04-05,"BBB-OPP"
"114","2021-04-05_Claire",2021-04-05 12:30:00,12:30:05,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"115","2021-04-05_Annemarie",2021-04-05 12:30:00,12:30:14,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"116","2021-04-05_Cesar",2021-04-05 12:30:00,12:30:19,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"117","2021-04-05_Annemarie",2021-04-05 12:30:00,12:30:22,"BBP","PPO","BBP-PPO","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-PPO"
"118","2021-04-05_Claire",2021-04-05 12:30:00,12:30:26,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"119","2021-04-05_Claire",2021-04-05 12:30:00,12:30:31,"BOB","BBP","BOB-BBP","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"120","2021-04-05_Cesar",2021-04-05 12:30:00,12:30:32,"BOB","BBP","BOB-BBP","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"121","2021-04-05_Annemarie",2021-04-05 12:30:00,12:30:44,"PPO","OGO","PPO-OGO","NN","male","Perrine","male","Florida City",TRUE,FALSE,1,2021-04-05,"OGO-PPO"
"122","2021-04-05_Annemarie",2021-04-05 12:30:00,12:30:48,"OGO","PPP","OGO-PPP","NN","male","Florida City","male","Florida City",FALSE,FALSE,1,2021-04-05,"OGO-PPP"
"123","2021-04-05_Cesar",2021-04-05 12:30:00,12:30:49,"GOO","PBO","GOO-PBO","NN","male","Florida City","female","Florida City",FALSE,TRUE,1,2021-04-05,"GOO-PBO"
"124","2021-04-05_Cesar",2021-04-05 12:30:00,12:30:49,"PBO","GOO","PBO-GOO","NN","female","Florida City","male","Florida City",FALSE,TRUE,1,2021-04-05,"GOO-PBO"
"125","2021-04-05_Claire",2021-04-05 12:30:00,12:30:52,"BOB","BBP","BOB-BBP","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"126","2021-04-05_Xavier",2021-04-05 12:30:00,12:31:00,"BBP","BOB","BBP-BOB","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"127","2021-04-05_Xavier",2021-04-05 12:30:00,12:31:00,"BOB","BBP","BOB-BBP","allop","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"128","2021-04-05_Xavier",2021-04-05 12:30:00,12:31:06,"BOB","BBP","BOB-BBP","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"129","2021-04-05_Annemarie",2021-04-05 12:30:00,12:31:07,"GGG","PBB","GGG-PBB","NN","female","Goulds","female","Goulds",FALSE,FALSE,1,2021-04-05,"GGG-PBB"
"130","2021-04-05_Annemarie",2021-04-05 12:30:00,12:31:07,"PBB","GGG","PBB-GGG","NN","female","Goulds","female","Goulds",FALSE,FALSE,1,2021-04-05,"GGG-PBB"
"131","2021-04-05_Annemarie",2021-04-05 12:30:00,12:31:19,"PGG","OOO","PGG-OOO","NN","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"OOO-PGG"
"132","2021-04-05_Annemarie",2021-04-05 12:30:00,12:31:26,"OOO","POP","OOO-POP","s2s","male","Perrine","female","Perrine",FALSE,TRUE,1,2021-04-05,"OOO-POP"
"133","2021-04-05_Claire",2021-04-05 12:30:00,12:33:20,"BBP","BOB","BBP-BOB","s2s","male","Perrine","male","Perrine",FALSE,FALSE,1,2021-04-05,"BBP-BOB"
"134","2021-04-05_Annemarie",2021-04-05 12:30:00,12:34:10,"OBB","OBG","OBB-OBG","NN","male","Florida City","female","Florida City",FALSE,TRUE,1,2021-04-05,"OBB-OBG"
"135","2021-04-05_Annemarie",2021-04-05 12:30:00,12:34:10,"OBG","OBB","OBG-OBB","NN","female","Florida City","male","Florida City",FALSE,TRUE,1,2021-04-05,"OBB-OBG"
"136","2021-04-05_Claire",2021-04-05 12:30:00,12:34:21,"GOO","PBO","GOO-PBO","NN","male","Florida City","female","Florida City",FALSE,TRUE,1,2021-04-05,"GOO-PBO"
"137","2021-04-05_Claire",2021-04-05 12:30:00,12:34:21,"PBO","GOO","PBO-GOO","NN","female","Florida City","male","Florida City",FALSE,TRUE,1,2021-04-05,"GOO-PBO"
"138","2021-04-05_Xavier",2021-04-05 12:30:00,12:34:52,"BBB","OOP","BBB-OOP","NN","male","Galloway","female","Goulds",TRUE,TRUE,1,2021-04-05,"BBB-OOP"
"139","2021-04-05_Xavier",2021-04-05 12:30:00,12:34:52,"OOP","BBB","OOP-BBB","NN","female","Goulds","male","Galloway",TRUE,TRUE,1,2021-04-05,"BBB-OOP"
"140","2021-04-05_Annemarie",2021-04-05 12:35:00,12:35:19,"PPP","BOB","PPP-BOB","NN","male","Florida City","male","Perrine",TRUE,FALSE,1,2021-04-05,"BOB-PPP"
"141","2021-04-05_Xavier",2021-04-05 12:35:00,12:35:27,"OOO","POP","OOO-POP","NN","male","Perrine","female","Perrine",FALSE,TRUE,1,2021-04-05,"OOO-POP"
"142","2021-04-05_Xavier",2021-04-05 12:35:00,12:35:27,"POP","OOO","POP-OOO","NN","female","Perrine","male","Perrine",FALSE,TRUE,1,2021-04-05,"OOO-POP"
